"","Nome rede","Link veja"
"","Caledonia Whisky & Co","https://vejasp.abril.com.br/estabelecimento/caledonia-whisky-co/"
"","Canaille","https://vejasp.abril.com.br/estabelecimento/canaille-bar/"
"","Cão Véio","https://vejasp.abril.com.br/estabelecimento/cao-veio/"
"","Cervejaria Nacional","https://vejasp.abril.com.br/estabelecimento/cervejaria-nacional/"
"","Dona Felicidade","https://vejasp.abril.com.br/estabelecimento/dona-felicidade/"
"","EAP Empório Alto de Pinheiros","https://vejasp.abril.com.br/estabelecimento/emporio-alto-dos-pinheiros/"
"","Espírito Santo","https://vejasp.abril.com.br/estabelecimento/espirito-santo/"
"","Estepe","https://vejasp.abril.com.br/estabelecimento/estepe/"
"","Exquisito","https://vejasp.abril.com.br/estabelecimento/exquisito/"
"","G&T Gin Bar","https://vejasp.abril.com.br/estabelecimento/get-bar/"
"","Gatto Figa","https://vejasp.abril.com.br/estabelecimento/gatto-figa/"
"","Guarita Bar","https://vejasp.abril.com.br/estabelecimento/guarita/"
"","Iaiá Cave à Manger","https://vejasp.abril.com.br/estabelecimento/iaia-cave-a-manger/"
"","Ipo Bar","https://vejasp.abril.com.br/estabelecimento/ipo-bar/"
"","Koya88","https://vejasp.abril.com.br/estabelecimento/koya88/"
"","Le Jazz Petit Bar","https://vejasp.abril.com.br/estabelecimento/le-jazz-petit/"
"","Levels Lounge Bar","https://vejasp.abril.com.br/estabelecimento/levels/"
"","Locale Caffè","https://vejasp.abril.com.br/estabelecimento/locale-caffe/"
"","Lupe Bar y Taqueria","https://vejasp.abril.com.br/estabelecimento/lupe/"
"","Maria Augusta RestoBar","https://vejasp.abril.com.br/estabelecimento/maria-augusta-restobar/"
"","Martin Bar","https://vejasp.abril.com.br/estabelecimento/martin-bar/"
"","MeGusta Bar","https://vejasp.abril.com.br/estabelecimento/megusta/"
"","Negroni","https://vejasp.abril.com.br/estabelecimento/negroni/"
"","Nosotros","https://vejasp.abril.com.br/estabelecimento/nos-otros/"
"","O Mirandês","https://vejasp.abril.com.br/estabelecimento/o-mirandes/"
"","O'Malley's Pub","https://vejasp.abril.com.br/estabelecimento/o-malley-s/"
"","Original","https://vejasp.abril.com.br/estabelecimento/original/"
"","Paloma","https://vejasp.abril.com.br/estabelecimento/paloma/"
"","Parô Cozinha Boêmia","https://vejasp.abril.com.br/estabelecimento/paro/"
"","Pé pra Fora","https://vejasp.abril.com.br/estabelecimento/pe-pra-fora/"
"","Pensão Bar","https://vejasp.abril.com.br/estabelecimento/pensao-bar/"
"","Péxi Bar","https://vejasp.abril.com.br/estabelecimento/pexi-bar/"
"","Pirajá","https://vejasp.abril.com.br/estabelecimento/piraja/"
"","QT Pìzza Bar","https://vejasp.abril.com.br/estabelecimento/qt-pizza-bar/"
"","Quintal deBetti","https://vejasp.abril.com.br/estabelecimento/quintal-debetti/"
"","Quintana","https://vejasp.abril.com.br/estabelecimento/quintana-bar/"
"","Regô","https://vejasp.abril.com.br/estabelecimento/rego/"
"","São Cristóvão","https://vejasp.abril.com.br/estabelecimento/sao-cristovao/"
"","Sarjeta","https://vejasp.abril.com.br/estabelecimento/sarjeta/"
"","Sertó Bar","https://vejasp.abril.com.br/estabelecimento/serto/"
"","Soul Botequim","https://vejasp.abril.com.br/estabelecimento/soul-botequim/"
"","St. John's Irish Pub","https://vejasp.abril.com.br/estabelecimento/st-john-s-irish-pub/"
"","SubAstor","https://vejasp.abril.com.br/estabelecimento/subastor/"
"","Taberna 474","https://vejasp.abril.com.br/estabelecimento/taberna-474/"
"","Tank","https://vejasp.abril.com.br/estabelecimento/tank/"
"","Tatu Bola","https://vejasp.abril.com.br/estabelecimento/tatu-bola/"
"","Terraço Itália","https://vejasp.abril.com.br/estabelecimento/terraco-italia/"
"","Térreo Bar","https://vejasp.abril.com.br/estabelecimento/terreo-bar/"
"","The Punch Bar","https://vejasp.abril.com.br/estabelecimento/the-punch-bar/"
"","The Victoria","https://vejasp.abril.com.br/estabelecimento/the-victoria/"
"","Tuy Bar, Cocina","https://vejasp.abril.com.br/estabelecimento/tuy/"
"","Vaca Véia","https://vejasp.abril.com.br/estabelecimento/vacaveia/"
"","Valadares","https://vejasp.abril.com.br/estabelecimento/valadares/"
"","Varal","https://vejasp.abril.com.br/estabelecimento/varal/"
"","Veloso","https://vejasp.abril.com.br/estabelecimento/veloso/"
"","Vino! Wine Bar","https://vejasp.abril.com.br/estabelecimento/vino-wine-bar/"
"","What's on Tap - WOT","https://vejasp.abril.com.br/estabelecimento/what-s-on-tap-wot/"
"","Yorimichi","https://vejasp.abril.com.br/estabelecimento/yorimichi/"
"","Zur Alten Mühle","https://vejasp.abril.com.br/estabelecimento/zur-alten-muhle/"
"","Parigi","https://vejasp.abril.com.br/estabelecimento/parigi/"
